Ano;Semestre;Concelho;Potência de Ligação (kW);Processos Concluídos (#);CodConcelho
2023;2;Torres Vedras;826.6700000000001;152.0;1113
2023;2;Fundão;225.28000000000003;63.0;0504
2023;2;Barreiro;140.18;36.0;1504
2023;2;Monção;76.99000000000001;31.0;1604
2023;2;Odivelas;115.91;52.0;1116
2023;2;Viseu;585.29;266.0;1823
2023;2;Albergaria-a-Velha;156.8;58.0;0102
2023;2;Arruda dos Vinhos;78.72;23.0;1102
2023;2;Aveiro;410.72;104.0;0105
2023;2;Cantanhede;1382.5900000000001;108.0;0602
2023;2;Paços de Ferreira;497.27;77.0;1309
2023;2;Montemor-o-Velho;283.90999999999997;86.0;0610
2023;2;Odemira;133.81;34.0;0211
2023;2;Alcácer do Sal;399.0;37.0;1501
2023;2;Vendas Novas;55.2;25.0;0712
2023;2;Vila Nova da Barquinha;115.25999999999999;28.0;1420
2023;2;Castro daire;167.71000000000004;34.0;1803
2023;2;Olhão;174.68999999999997;56.0;0810
2023;2;Trancoso;117.21;16.0;0913
2023;2;Gouveia;42.53;24.0;0906
2023;2;Mação;35.62;21.0;1413
2023;2;Sousel;112.32000000000001;17.0;1215
2023;2;Valpaços;123.59;70.0;1712
2023;2;Serpa;197.0;23.0;0213
2023;2;Setúbal;1512.85;131.0;1512
2023;2;Portalegre;113.32;40.0;1214
2023;2;Nelas;164.54;53.0;1809
2023;2;Vila do Conde;545.31;115.0;1316
2023;2;Felgueiras;279.15999999999997;83.0;1303
2023;2;Montalegre;71.62;20.0;1706
2023;2;Almeida;32.22;6.0;0902
2023;2;Santa Comba Dão;71.02;30.0;1814
2023;2;Amares;180.94;55.0;0301
2023;2;Moimenta da Beira;133.46;28.0;1807
2023;2;Tomar;253.44;84.0;1418
2023;2;Macedo de Cavaleiros;84.75;27.0;0405
2023;2;Vieira do Minho;48.870000000000005;20.0;0311
2023;2;Pombal;619.88;138.0;1015
2023;2;Santa Marta de Penaguião;65.37;9.0;1711
2023;2;Sines;48.5;15.0;1513
2023;2;Ourique;37.510000000000005;20.0;0212
2023;2;Borba;178.04;13.0;0703
2023;2;Guimarães;1554.4699999999998;310.0;0308
2023;2;Vila Franca de Xira;784.1100000000001;61.0;1114
2023;2;Murtosa;116.28999999999999;23.0;0112
2023;2;Lagos;201.8;55.0;0807
2023;2;Tarouca;87.96999999999998;17.0;1820
2023;2;Oliveira do Bairro;210.99999999999997;72.0;0114
2023;2;Mértola;27.969999999999995;12.0;0209
2023;2;Vila de Rei;54.83;9.0;0510
2023;2;Mondim de Basto;31.09;16.0;1705
2023;2;Mesão Frio;28.31;10.0;1704
2023;2;Valongo;232.67;77.0;1315
2023;2;Amadora;97.46000000000001;20.0;1115
2023;2;Lamego;137.02;22.0;1805
2023;2;Marinha Grande;423.80999999999995;84.0;1010
2023;2;Évora;1781.34;72.0;0705
2023;2;Carregal do Sal;67.11;21.0;1802
2023;2;Marvão;24.21;7.0;1210
2023;2;Vimioso;58.2;12.0;0411
2023;2;Palmela;432.74;118.0;1508
2023;2;Oliveira do Hospital;267.95000000000005;48.0;0611
2023;2;Alter do Chão;23.639999999999997;9.0;1201
2023;2;Sintra;1636.38;240.0;1111
2023;2;Fronteira;34.58;3.0;1208
2023;2;Cuba;66.19999999999999;8.0;0207
2023;2;Salvaterra de Magos;425.2;77.0;1415
2023;2;Vila Nova de Poiares;26.109999999999996;18.0;0617
2023;2;Terras de Bouro;31.68;12.0;0310
2023;2;Figueira da Foz;496.2599999999999;112.0;0605
2023;2;Vizela;116.66;32.0;0314
2023;2;Sertã;29.95;19.0;0509
2023;2;Almada;424.13;165.0;1503
2023;2;Gondomar;542.86;124.0;1304
2023;2;Figueiró dos Vinhos;27.79;9.0;1008
2023;2;Moura;128.71;24.0;0210
2023;2;Loulé;707.38;136.0;0808
2023;2;Vila Pouca de Aguiar;65.14;25.0;1713
2023;2;Caminha;85.48;38.0;1602
2023;2;Barcelos;1014.9300000000001;287.0;0302
2023;2;Ílhavo;268.06;92.0;0110
2023;2;Águeda;1070.78;88.0;0101
2023;2;Ovar;383.1;106.0;0115
2023;2;Arraiolos;197.04;21.0;0702
